Task,DWA Element Name
Administer first aid and cardiopulmonary resuscitation to injured persons or provide emergency medical care such as basic or advanced life support.,Provide first aid or rescue assistance in emergencies.; Treat medical emergencies.; Implement advanced life support techniques.
"Assess fires and situations and report conditions to superiors to receive instructions, using two-way radios.",Assess characteristics of fires.; Relay information about incidents or emergencies to personnel using phones or two-way radios.
Clean and maintain fire stations and fire fighting equipment and apparatus.,Maintain fire fighting tools or equipment.
Collaborate with other firefighters as a member of a firefighting crew.,Communicate with other workers to coordinate activities.
"Collaborate with police to respond to accidents, disasters, and arson investigation calls.",Collaborate with law enforcement or security agencies to respond to incidents.
"Create openings in buildings for ventilation or entrance, using axes, chisels, crowbars, electric saws, or core cutters.",Operate firefighting equipment.
Dress with equipment such as fire-resistant clothing and breathing apparatus.,"Select tools, equipment, or technologies for use in operations or projects."
Drive and operate fire fighting vehicles and equipment.,Operate firefighting equipment.
"Extinguish flames and embers to suppress fires, using shovels or engine- or hand-driven water or chemical pumps.",Operate firefighting equipment.
Inform and educate the public on fire prevention.,Educate the public about fire safety or prevention.
"Inspect buildings for fire hazards and compliance with fire prevention ordinances, testing and checking smoke alarms and fire suppression equipment as necessary.",Inspect facilities to ensure compliance with fire regulations.; Inspect equipment to ensure safety or proper functioning.
Inspect fire sites after flames have been extinguished to ensure that there is no further danger.,Examine debris to obtain information about causes of fires.
"Maintain contact with fire dispatchers at all times to notify them of the need for additional firefighters and supplies, or to detail any difficulties encountered.",Request emergency personnel.
"Maintain knowledge of current firefighting practices by participating in drills and by attending seminars, conventions, and conferences.",Attend training to learn new skills or update knowledge.; Maintain professional knowledge or certifications.
"Move toward the source of a fire, using knowledge of types of fires, construction design, building materials, and physical layout of properties.",Locate fires or fire danger areas.
Operate pumps connected to high-pressure hoses.,Operate firefighting equipment.
"Orient self in relation to fire, using compass and map, and collect supplies and equipment dropped by parachute.",Locate fires or fire danger areas.
Participate in fire drills and demonstrations of fire fighting techniques.,Demonstrate activity techniques or equipment use.
Participate in physical training activities to maintain a high level of physical fitness.,Participate in physical training to maintain fitness.
Patrol burned areas after fires to locate and eliminate hot spots that may restart fires.,Locate fires or fire danger areas.; Patrol natural areas to ensure safety or enforce regulations.
"Position and climb ladders to gain access to upper levels of buildings, or to rescue individuals from burning structures.",Operate firefighting equipment.; Rescue people from hazardous situations.
Prepare written reports that detail specifics of fire incidents.,Prepare investigation or incident reports.
"Protect property from water and smoke, using waterproof salvage covers, smoke ejectors, and deodorants.",Protect property from fire or water damage.
"Rescue survivors from burning buildings, accident sites, and water hazards.",Rescue people from hazardous situations.
"Respond to fire alarms and other calls for assistance, such as automobile and industrial accidents.",Respond to emergencies to provide assistance.
"Salvage property by removing broken glass, pumping out water, and ventilating buildings to remove smoke.",Protect property from fire or water damage.
Search to locate fire survivors.,Rescue people from hazardous situations.
"Select and attach hose nozzles, depending on fire type, and direct streams of water or chemicals onto fires.",Prepare hoses or water supplies to fight fires.
"Take action to contain any hazardous chemicals that could catch fire, leak, or spill.",Protect property from fire or water damage.
Train new employees to control and suppress fires.,Train personnel on proper operational procedures.
